month/day	vader compound	vader sentiment
2007-02-13	0.0	neutral
2007-02-14	0.0	neutral
2007-02-15	0.0	neutral
2007-02-16	0.0	neutral
2007-02-17	-0.8106	negative
2007-02-18	0.0	neutral
2007-02-19	0.0	neutral
2007-02-20	0.0	neutral
2007-02-21	0.0	neutral
2007-02-22	0.0	neutral
2007-02-23	0.0	neutral
2007-02-24	0.0	neutral
2007-02-25	0.0	neutral
2007-02-26	-0.7354	negative
2007-02-27	-0.5676	negative
2007-02-28	0.0	neutral
2007-03-01	0.0	neutral
2007-03-02	-0.6179	negative
2007-03-03	-0.1779	negative
2007-03-04	0.0	neutral
2007-03-05	0.0	neutral
2007-03-06	-0.3612	negative
2007-03-07	0.0	neutral
2007-03-08	-0.765	negative
2007-03-09	-0.33030000000000004	negative
2007-03-10	0.0	neutral
2007-03-11	0.6756	positive
2007-03-12	1.4889	positive
2007-03-13	-0.128	negative
2007-03-14	1.8566	positive
2007-03-15	0.0	neutral
2007-03-16	0.5859	positive
2007-03-17	0.15800000000000003	positive
2007-03-18	-1.9950999999999999	negative
2007-03-19	-0.8659999999999999	negative
2007-03-20	-0.3726	negative
2007-03-21	-2.0645999999999995	negative
2007-03-22	0.6807999999999998	positive
2007-03-23	-1.042	negative
2007-03-24	-0.6193	negative
2007-03-25	-0.1531	negative
2007-03-26	0.0	neutral
2007-03-27	-1.4024999999999999	negative
2007-03-28	-0.1664000000000001	negative
2007-03-29	0.4788	positive
2007-03-30	0.0	neutral
2007-03-31	-0.7783	negative
2007-04-01	-1.2457	negative
2007-04-02	0.0	neutral
2007-04-03	-0.5122	negative
2007-04-04	0.0	neutral
2007-04-05	-0.7003	negative
2007-04-06	0.25379999999999997	positive
2007-04-07	0.0	neutral
2007-04-08	0.5267	positive
2007-04-09	0.2723	positive
2007-04-10	-1.8163	negative
2007-04-11	0.3548000000000001	positive
2007-04-12	0.0772	positive
2007-04-13	-1.6854	negative
2007-04-14	0.0	neutral
2007-04-15	0.1779	positive
2007-04-16	0.4215	positive
2007-04-17	0.6249	positive
2007-04-18	0.8288	positive
2007-04-19	0.5086999999999999	positive
2007-04-20	-0.14080000000000004	negative
2007-04-21	1.0866	positive
2007-04-22	0.0	neutral
2007-04-23	0.0	neutral
2007-04-24	0.5676999999999999	positive
2007-04-25	-0.6322	negative
2007-04-26	0.4019	positive
2007-04-27	-0.17049999999999998	negative
2007-04-28	-0.09060000000000001	negative
2007-04-29	-0.8316	negative
2007-04-30	0.39869999999999994	positive
2007-05-01	-0.6808	negative
2007-05-02	0.0	neutral
2007-05-03	-0.0772	negative
2007-05-04	-0.6249	negative
2007-05-05	0.0	neutral
2007-05-06	-0.22220000000000006	negative
2007-05-07	-0.7579	negative
2007-05-08	-0.9606000000000001	negative
2007-05-09	-0.47909999999999997	negative
2007-05-10	0.0	neutral
2007-05-11	0.323	positive
2007-05-12	-2.3391	negative
2007-05-13	0.0	neutral
2007-05-14	0.3182	positive
2007-05-15	1.8037999999999998	positive
2007-05-16	-0.5994	negative
2007-05-17	-0.7506	negative
2007-05-18	0.0	neutral
2007-05-19	0.0	neutral
2007-05-20	0.3182	positive
2007-05-21	0.128	positive
2007-05-22	0.0	neutral
2007-05-23	0.0258	positive
2007-05-24	0.0	neutral
2007-05-25	0.7261000000000001	positive
2007-05-26	0.0	neutral
2007-05-27	0.0	neutral
2007-05-28	-0.7096	negative
2007-05-29	0.296	positive
2007-05-30	0.2732	positive
2007-05-31	-0.9209	negative
2007-06-01	-0.6427	negative
2007-06-02	0.0	neutral
2007-06-03	0.0	neutral
2007-06-04	0.0	neutral
2007-06-05	0.0772	positive
2007-06-06	0.5106	positive
2007-06-07	0.0	neutral
2007-06-08	0.0	neutral
2007-06-09	0.3612	positive
2007-06-10	0.0	neutral
2007-06-11	0.6249	positive
2007-06-12	-0.34	negative
2007-06-13	0.0	neutral
2007-06-14	0.0	neutral
2007-06-15	0.0	neutral
2007-06-16	0.0	neutral
2007-06-17	0.0	neutral
2007-06-18	-0.5574	negative
2007-06-19	-0.10980000000000001	negative
2007-06-20	0.0	neutral
